exchange,trading_symbol,groww_symbol,name,series,isin,exchange_token
NSE,903SFL28,NSE-903SFL28,903STFCL28,YI,INE721A07NU1,498
NSE,895AEL27,NSE-895AEL27,AEL-8.95%-17-07-27-NCD,N9,INE423A07450,757869
NSE,87SCL25,NSE-87SCL25,87IHFL25,ZV,INE148I07NP0,13477
NSE,888IRFC29,NSE-888IRFC29,888IRFC29,NE,INE053F07744,1999
NSE,891NTPC33,NSE-891NTPC33,891NTPC33,N6,INE733E07JJ9,31768
NSE,87SCL27A,NSE-87SCL27A,894IHFL25A,ZK,INE148I07MY4,11846
NSE,888NHB29,NSE-888NHB29,888NHB29,N5,INE557F07124,31969
NSE,889SCL28,NSE-889SCL28,975IHFL28,NU,INE148I08322,5859
NSE,88SCL25,NSE-88SCL25,88IHF25,ZG,INE148I07MQ0,11833
NSE,885LTF27,NSE-885LTF27,885LTFL27,NE,INE027E07AK3,20671
NSE,902SCL28,NSE-902SCL28,SCL-9.02%-19-03-28-NCD,N1,INE148I07WU1,30238
NSE,89SCL24A,NSE-89SCL24A,87IHFL27A,ZM,INE148I07NA2,11857
NSE,889SCFL27,NSE-889SCFL27,889IHFL27,YC,INE148I07LE8,7777
NSE,902SCL30,NSE-902SCL30,SCL-9.02%-01-08-30-NCD,NE,INE148I07XM6,757470
NSE,898LTF29,NSE-898LTF29,898LTFL29,N7,INE027E07998,20655
NSE,889SCL27,NSE-889SCL27,889IBHL27,YT,INE148I07LV2,9277
NSE,901NHB34,NSE-901NHB34,901NHB34,N6,INE557F07132,31970
NSE,888ERFL28,NSE-888ERFL28,888ERFL23,N5,INE528S07110,2252
NSE,885IHL26,NSE-885IHL26,IHFL-8.85%-26-12-26-NCD,N1,INE477L07AZ3,28852
NSE,902SCL27A,NSE-902SCL27A,IHFL-9.02%-31-5-27-NCD,ZI,INE148I07TH4,23946
NSE,880IREDA29,NSE-880IREDA29,880IREDA29,N5,INE202E07138,1391
NSE,892NHPC33,NSE-892NHPC33,892NHPC33,N6,INE848E07567,31487
NSE,889SCL26,NSE-889SCL26,925IHFL26,NS,INE148I07KN1,5855
NSE,884LTF29,NSE-884LTF29,884LTFL29,N6,INE027E07980,20648
NSE,886REC34,NSE-886REC34,886REC34,NG,INE020B07IH3,2953
NSE,87SCL27,NSE-87SCL27,905IHFL27,Z6,INE148I07MD8,11356
NSE,880IREDA34,NSE-880IREDA34,880IREDA34,N6,INE202E07153,1393
NSE,902SCL26I,NSE-902SCL26I,Indiabulls Housing Finance Ltd. - (902IHFL26I),AW,INE148I07OQ6,17521
NSE,888REC29,NSE-888REC29,888REC29,NF,INE020B07IG5,2947
NSE,885AEL28,NSE-885AEL28,AEL-8.85%-17-07-28-NCD,NB,INE423A07427,757871
NSE,905SC24B,NSE-905SC24B,915IHFL27,Z9,INE148I07ML1,11368
NSE,87LTF27,NSE-87LTF27,87LTFL27,NH,INE027E07AN7,20691
NSE,894SCL25A,NSE-894SCL25A,IHFL031122A,ZI,INE148I07MT4,11837
NSE,901HUDCO34,NSE-901HUDCO34,901HUDCO34,NE,INE031A07AB2,19970
NSE,897MOFSL29,NSE-897MOFSL29,MOFSL-8.97%-9-5-29-NCD,N4,INE338I07164,23706
NSE,891IIFCL34,NSE-891IIFCL34,891IIFCL34,N4,INE787H07370,20058
NSE,883GS2041,NSE-883GS2041,GOI LOAN 8.83%,GS,IN0020110063,7013
NSE,902SCL2030,NSE-902SCL2030,SCL-9.02%-01-08-30-NCD,NG,INE148I07XZ8,757472
NSE,91D021025,NSE-91D021025,91TB011025,TB,IN002025X141,757745
NSE,915AEL28,NSE-915AEL28,AEL-9.15%-17-07-28-NCD,NC,INE423A07435,757872
NSE,931SFIL26A,NSE-931SFIL26A,875ICCL28,,INE244L07150,4926
NSE,925SCFL27,NSE-925SCFL27,925IHFL27,YA,INE148I07LC2,7769
