TckrSymb,FinInstrmNm,Industry,exchange
ARTNIRMAN,ART NIRMAN LIMITED,Realty,NSE
ARTEMISMED,ARTEMIS MED SERVICE LTD,Healthcare Services,NSE
ARUNAYA,ARUNAYA ORGANICS LIMITED,Chemicals & Petrochemicals,NSE
ARVEE,ARVEE LABORATORIES I LTD,Chemicals & Petrochemicals,NSE
ARVINDFASN,ARVIND FASHIONS LIMITED,Retailing,NSE
ARVIND,ARVIND LIMITED,Textiles & Apparels,NSE
ARVINDPORT,ARVIND PORT AND INFRA LTD,Transport Services,NSE
ARVSMART,ARVIND SMARTSPACES LTD,Realty,NSE
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Auto Components,NSE
ASAHISONG,ASAHI SONGWON COLOR LTD,Chemicals & Petrochemicals,NSE
ASCOM,ASCOM LEASIN & INVEST LTD,Finance,NSE
ASHALOG,ASHAPURA LOGISTICS LTD,Transport Services,NSE
ASHAPURMIN,ASHAPURA MINECHEM LTD,Minerals & Mining,NSE
ASHIANA,ASHIANA HOUSING LTD,Realty,NSE
ASHIMASYN,ASHIMA LTD,Textiles & Apparels,NSE
ASHOKLEY,ASHOK LEYLAND LTD,"Agricultural, Commercial & Construction Vehicles",NSE
ASHOKA,ASHOKA BUILDCON LTD,Construction,NSE
ASHOKAMET,ASHOKA METCAST LIMITED,Metals & Minerals Trading,NSE
ASIANENE,ASIAN ENERGY SERVICES LTD,Oil,NSE
ASIANTILES,ASIAN GRANITO IND. LTD.,Consumer Durables,NSE
AHLEAST,ASIAN HOTELS (EAST) LTD,Leisure Services,NSE
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,Leisure Services,NSE
ASIANPAINT,ASIAN PAINTS LIMITED,Consumer Durables,NSE
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,Auto Components,NSE
ASLIND,ASL INDUSTRIES LIMITED,Auto Components,NSE
ASPINWALL,ASPINWALL & CO LTD,Transport Services,NSE
ASPIRE,ASPIRE & INNOVATIVE ADV L,Consumer Durables,NSE
ASALCBR,ASSO ALCOHOLS & BREW LTD,Beverages,NSE
ASTEC,ASTEC LIFESCIENCES LTD,Fertilizers & Agrochemicals,NSE
ASTERDM,ASTER DM HEALTHCARE LTD.,Healthcare Services,NSE
ASTRAMICRO,ASTRA MICROWAVE LTD,Aerospace & Defense,NSE
ASTRAL,ASTRAL LIMITED,Industrial Products,NSE
ASTRAZEN,ASTRAZENECA PHARMA IND LT,Pharmaceuticals & Biotechnology,NSE
ASTRON,ASTRON PAPER BORD MIL LTD,"Paper, Forest & Jute Products",NSE
ATALREAL,ATAL REALTECH LIMITED,Realty,NSE
ATAM,ATAM VALVES LIMITED,Industrial Manufacturing,NSE
ATCENERGY,ATC ENERGIES SYSTEM LTD,Electrical Equipment,NSE
ATHERENERG,ATHER ENERGY LIMITED,Automobiles,NSE
ATLANTAA,ATLANTAA LIMITED,Construction,NSE
ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,Consumer Durables,NSE
ATMASTCO,ATMASTCO LIMITED,Construction,NSE
ATULAUTO,ATUL AUTO LIMITED,"Agricultural, Commercial & Construction Vehicles",NSE
ATUL,ATUL LTD,Chemicals & Petrochemicals,NSE
AUBANK,AU SMALL FINANCE BANK LTD,Banks,NSE
AURDIS,AURANGABAD DISTILLERY LTD,Beverages,NSE
AURIONPRO,AURIONPRO SOLN LTD,IT - Software,NSE
AUROPHARMA,AUROBINDO PHARMA LTD,Pharmaceuticals & Biotechnology,NSE
AURUM,AURUM PROPTECH LIMITED,IT - Services,NSE
AUSOMENT,AUSOM ENTERPRISE LIMITED,Consumer Durables,NSE
APS,AUSTRALIAN PREM SOLAR I L,Electrical Equipment,NSE
AIIL,AUTHUM INVEST & INFRA LTD,Finance,NSE
AUTOIND,AUTOLINE INDUSTRIES LTD,Auto Components,NSE
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,Auto Components,NSE
ASAL,AUTOMOTIVE STAMPINGS & AS,Auto Components,NSE
AVADHSUGAR,AVADH SUG & ENERGY LTD,Agricultural Food & other Products,NSE
AVALON,AVALON TECHNOLOGIES LTD,Electrical Equipment,NSE
AVANTEL,AVANTEL LIMITED,Aerospace & Defense,NSE
AVANTIFEED,AVANTI FEEDS LIMITED,Food Products,NSE
DMART,AVENUE SUPERMARTS LIMITED,Retailing,NSE
AVG,AVG LOGISTICS LIMITED,Transport Services,NSE
AVIANSH,AVI ANSH TEXTILE LIMITED,Textiles & Apparels,NSE
AVONMORE,AVONMORE CAP&MGT SERV LTD,Finance,NSE
AVPINFRA,AVP INFRACON LIMITED,Construction,NSE
AVROIND,AVRO INDIA LIMITED,Consumer Durables,NSE
AVTNPL,AVT NATURAL PRODUCTS LTD,Agricultural Food & other Products,NSE
AWFIS,AWFIS SPACE SOLUTIONS LTD,Commercial Services & Supplies,NSE
AWL,AWL AGRI BUSINESS LIMITED,Agricultural Food & other Products,NSE
AXISBANK,AXIS BANK LIMITED,Banks,NSE
AXISGOLD,AXIS MF - AXIS GOLD ETF,,NSE
AXISBNKETF,AXISAMC - AXISBNKETF,,NSE
AXISBPSETF,AXISAMC - AXISBPSETF,,NSE
AXISCETF,AXISAMC - AXISCETF,,NSE
AXISHCETF,AXISAMC - AXISHCETF,,NSE
AXISILVER,AXISAMC - AXISILVER,,NSE
AXISNIFTY,AXISAMC - AXISNIFTY,,NSE
AXISTECETF,AXISAMC - AXISTECETF,,NSE
AXISVALUE,AXISAMC - AXISVALUE,,NSE
AXSENSEX,AXISAMC - AXSENSEX,,NSE
AXISCADES,AXISCADES TECH LTD,Aerospace & Defense,NSE
AXITA,AXITA COTTON LIMITED,Textiles & Apparels,NSE
AYMSYNTEX,AYM SYNTEX LIMITED,Textiles & Apparels,NSE
AZAD,AZAD ENGINEERING LIMITED,Electrical Equipment,NSE
BBTCL,B&B TRIPLEWALL CONT LTD,Industrial Products,NSE
BAGFILMS,B.A.G FILMS AND MEDIA LTD,Entertainment,NSE
BLKASHYAP,B.L.KASHYAP & SON LTD,Construction,NSE
STYLEBAAZA,BAAZAR STYLE RETAIL LTD,Retailing,NSE
BAFNAPH,BAFNA PHARMACEUTICALS LTD,Pharmaceuticals & Biotechnology,NSE
BAHETI,BAHETI RECYCLING IND LTD,Industrial Products,NSE
BAIDFIN,BAID FINSERV LIMITED,Finance,NSE
BAJAJ-AUTO,BAJAJ AUTO LIMITED,Automobiles,NSE
BAJAJCON,BAJAJ CONSUMER CARE LTD,Personal Products,NSE
BAJAJELEC,BAJAJ ELECT.LTD,Consumer Durables,NSE
BAJFINANCE,BAJAJ FINANCE LIMITED,Finance,NSE
BAJAJFINSV,BAJAJ FINSERV LTD.,Finance,NSE
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,Pharmaceuticals & Biotechnology,NSE
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,Agricultural Food & other Products,NSE
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,Finance,NSE
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Finance,NSE
BAJEL,BAJEL PROJECTS LIMITED,Electrical Equipment,NSE
BALPHARMA,BAL PHARMA LTD.,Pharmaceuticals & Biotechnology,NSE
BALAMINES,BALAJI AMINES LIMITED,Chemicals & Petrochemicals,NSE
BALAJIPHOS,BALAJI PHOSPHATES LIMITED,Fertilizers & Agrochemicals,NSE
BALAJITELE,BALAJI TELEFILMS LIMITED.,Entertainment,NSE
BALAXI,BALAXI PHARMA LTD,Pharmaceuticals & Biotechnology,NSE
BALKRISIND,BALKRISHNA IND. LTD,Auto Components,NSE
BALKRISHNA,BALKRISHNA PAPER MILLS L,"Paper, Forest & Jute Products",NSE
BALMLAWRIE,BALMER LAWRIE & CO LTD,Diversified,NSE
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Agricultural Food & other Products,NSE
BALUFORGE,BALU FORGE INDUSTRIES LTD,Industrial Products,NSE
BANARBEADS,BANARAS BEADS LTD,Consumer Durables,NSE
BANCOINDIA,BANCO PRODUCTS (I) LTD,Auto Components,NSE
BANDHANBNK,BANDHAN BANK LIMITED,Banks,NSE
IDFNIFTYET,BANDHANAMC - IDFNIFTYET,,NSE
BANG,BANG OVERSEAS LTD.,Textiles & Apparels,NSE
BANKBARODA,BANK OF BARODA,Banks,NSE
BANKINDIA,BANK OF INDIA,Banks,NSE
MAHABANK,BANK OF MAHARASHTRA,Banks,NSE
BANKA,BANKA BIOLOO LIMITED,Construction,NSE
BASML,BANNARI AM SPIN MILL LTD.,Textiles & Apparels,NSE
BANARISUG,BANNARI AMMAN SUGARS LTD,Agricultural Food & other Products,NSE
BANSALWIRE,BANSAL WIRE INDUSTRIES L,Industrial Products,NSE
BANSWRAS,BANSWARA SYNTEX LIMITED,Textiles & Apparels,NSE
BVCL,BARAK VALLEY CEM. LTD.,Cement & Cement Products,NSE
BARBEQUE,BARBEQUE NATION HOSP. LTD,Leisure Services,NSE
BARFLEX,BARFLEX POLYFILMS LIMITED,Industrial Products,NSE
BBNPNBETF,BARODABNP - BBNPNBETF,,NSE
BBNPPGOLD,BARODABNP - BBNPPGOLD,,NSE
ASMS,BARTRONICS INDIA LIMITED,IT - Services,NSE
BASF,BASF INDIA LTD,Chemicals & Petrochemicals,NSE
BASILIC,BASILIC FLY STUDIO LTD,Entertainment,NSE
